Venue,Instrument Name,Link to a website or other source where further information on costs is available,"Total value of all rebates, discounts, or other payments offered (as % of total
traded value during the reporting period)","Total value of all costs (as a % of total traded value during the reporting period
volume)"
Avatrade,BTG/USD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BCH/USD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,LTC/USD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BTC/JPY Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BTC/EUR Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,ETH/USD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BTC/USD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,COCOA Commodity CFD 100,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,SILVER Commodity CFD 10000,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,COPPER Commodity CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GOOGLE,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USSugar Commodity CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,SOYBEAN Commodity CFD 100,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,AMAZON,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,MASTERCARD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,NATURAL_GAS Commodity CFD 10000,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,HEATING_OIL Commodity CFD 100000,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GASOLINE Commodity CFD 100000,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USCoffee Commodity CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CORN Commodity CFD 100,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,COTTON2 Commodity CFD 1000,https://www.avatrade.com/trading-info/trading-conditions,,
