Date,Venue,Country of Competent Authority,Market Segment,Outages,Scheduled Auction,Failed Transactions
2020-04-06T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-04-07T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-04-08T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-04-09T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-04-14T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-04-15T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-04-16T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-04-17T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-04-20T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-04-21T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-04-22T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-04-24T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-04-27T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-04-28T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-04-29T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-04-30T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-04T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-05T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-06T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-07T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-08T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-11T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-12T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-13T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-14T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-15T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-18T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-19T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-20T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-21T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-22T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-25T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-26T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-27T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-28T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-05-29T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-01T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-02T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-03T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-04T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-05T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-08T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-10T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-11T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-12T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-15T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-16T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-17T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-18T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-19T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-22T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-23T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-25T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-26T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-29T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2020-06-30T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
