Date,Instrument Name,Order or RfQ Received,Order or RfQ Cancelled/Withdrawn,Order or RfQ Modified,Transactions Executed, Total Value of Transactions Executed ,Median Transaction Size,Median Size of All Orders or RfQ
2019-01-02T00:00:00.000Z,WTI Crude Oil Commodity CFD,6,0,0,0, -   ,,20
2019-01-03T00:00:00.000Z,WTI Crude Oil Commodity CFD,12,0,0,0, -   ,,10
2019-01-03T00:00:00.000Z,Gold Commodity CFD,2,0,0,0, -   ,,1
2019-01-03T00:00:00.000Z,Brent Oil Commodity CFD,1,0,0,0, -   ,,20
2019-01-04T00:00:00.000Z,WTI Crude Oil Commodity CFD,7,0,0,0, -   ,,10
2019-01-07T00:00:00.000Z,WTI Crude Oil Commodity CFD,1,0,0,0, -   ,,10
2019-01-08T00:00:00.000Z,WTI Crude Oil Commodity CFD,10,0,0,0, -   ,,10
2019-01-08T00:00:00.000Z,Gold Commodity CFD,1,0,0,0, -   ,,1
2019-01-08T00:00:00.000Z,Palladium Commodity CFD,1,0,0,1," 6,327.50 ",5,5
2019-01-09T00:00:00.000Z,WTI Crude Oil Commodity CFD,4,0,0,0, -   ,,65
2019-01-11T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,300
2019-01-14T00:00:00.000Z,WTI Crude Oil Commodity CFD,3,0,0,1," 10,226.00 ",200,300
2019-01-14T00:00:00.000Z,Platinum Commodity CFD,1,0,0,0, -   ,,25
2019-01-15T00:00:00.000Z,WTI Crude Oil Commodity CFD,5,0,0,0, -   ,,10
2019-01-15T00:00:00.000Z,Gold Commodity CFD,1,0,0,0, -   ,,1
2019-01-16T00:00:00.000Z,Natural Gas Commodity CFD,4,0,0,1," 4,010.60 ",1100,600
2019-01-17T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,200
2019-01-17T00:00:00.000Z,WTI Crude Oil Commodity CFD,1,0,0,0, -   ,,10
2019-01-18T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,100
2019-01-20T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,100
2019-01-22T00:00:00.000Z,Natural Gas Commodity CFD,4,0,0,0, -   ,,200
2019-01-24T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,100
2019-01-25T00:00:00.000Z,Natural Gas Commodity CFD,3,0,0,0, -   ,,200
2019-01-28T00:00:00.000Z,Natural Gas Commodity CFD,5,0,0,0, -   ,,100
2019-01-29T00:00:00.000Z,Natural Gas Commodity CFD,2,0,0,0, -   ,,300
2019-01-30T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,500
2019-01-31T00:00:00.000Z,Natural Gas Commodity CFD,4,0,0,0, -   ,,500
2019-02-11T00:00:00.000Z,WTI Crude Oil Commodity CFD,1,0,0,0, -   ,,10
2019-02-12T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,100
2019-02-26T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,100
2019-03-01T00:00:00.000Z,Silver Commodity CFD - Future,2,0,0,0, -   ,,100
2019-03-04T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,500
2019-03-05T00:00:00.000Z,Natural Gas Commodity CFD,3,0,0,0, -   ,,200
2019-03-06T00:00:00.000Z,Natural Gas Commodity CFD,2,0,0,0, -   ,,350
2019-03-07T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,100
2019-03-11T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,1600
2019-03-14T00:00:00.000Z,Natural Gas Commodity CFD,2,0,0,0, -   ,,5050
2019-03-15T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,100
2019-03-19T00:00:00.000Z,Natural Gas Commodity CFD,4,0,0,2," 15,911.50 ",2750,2750
2019-03-20T00:00:00.000Z,Natural Gas Commodity CFD,4,0,0,0, -   ,,750
2019-03-21T00:00:00.000Z,Natural Gas Commodity CFD,2,0,0,0, -   ,,750
2019-03-21T00:00:00.000Z,Brent Oil Commodity CFD,1,0,0,0, -   ,,10
2019-03-21T00:00:00.000Z,WTI Crude Oil Commodity CFD,1,0,0,0, -   ,,10
2019-03-22T00:00:00.000Z,Natural Gas Commodity CFD,4,0,0,0, -   ,,100
2019-03-25T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,100
2019-03-26T00:00:00.000Z,Natural Gas Commodity CFD,4,0,0,0, -   ,,200
2019-03-27T00:00:00.000Z,Natural Gas Commodity CFD,2,0,0,0, -   ,,300
2019-03-28T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,100
2019-03-29T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,1500
2019-03-29T00:00:00.000Z,Silver Commodity CFD - Future,1,0,0,0, -   ,,100
2019-04-02T00:00:00.000Z,Brent Oil Commodity CFD,1,0,0,0, -   ,,10
