Date,Venue,Country of Competent Authority,Market Segment,Outages,Scheduled Auction,Failed Transactions
2019-09-26T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-10-02T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-10-07T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-10-10T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-10-11T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-10-15T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-10-16T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-10-17T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-10-18T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-10-21T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-10-24T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-10-28T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-10-30T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-10-31T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-11-01T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-11-04T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-11-05T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-11-06T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-11-07T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-11-08T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-11-11T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-11-12T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-11-13T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-11-14T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-11-15T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-11-19T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-11-20T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-11-21T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-11-25T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-11-26T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-11-27T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-12-02T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-12-03T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-12-05T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-12-06T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-12-09T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-12-11T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-12-12T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-12-13T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-12-16T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-12-18T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-12-19T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-12-20T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-12-23T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-12-27T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
2019-12-30T00:00:00.000Z,635400B4JMEKVIH72416,IE,,,,
